+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                    ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Gm1                                                                                              ; 39    ; 9              ; 0            ; 9              ; 8      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Rm1|altsyncram_component|auto_generated                                                          ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Rm1                                                                                              ; 39    ; 9              ; 0            ; 9              ; 8      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit                                                                                                             ; 82    ; 0              ; 29           ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|LCD_Data_unit                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 70     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Nios_Touch_Panel_unit                                                                                                        ; 67    ; 0              ; 1            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Touch_Panel_unit                                                                                                             ; 6     ; 0              ; 0            ; 0              ; 29     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|LCD_Config_unit|I2C_unit                                                                                                     ; 19    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|LCD_Config_unit                                                                                                              ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Nios_Camera_Interface_unit                                                                                                   ; 74    ; 0              ; 17           ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Camera_Config_unit|u0                                                                                                        ; 27    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Camera_Config_unit                                                                                                           ; 19    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Camera_Data_unit|Raw_Buffer|altshift_taps_component|auto_generated|cntr1|cmpr5                                               ; 22    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Camera_Data_unit|Raw_Buffer|altshift_taps_component|auto_generated|cntr1                                                     ; 2     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Camera_Data_unit|Raw_Buffer|altshift_taps_component|auto_generated|altsyncram2                                               ; 45    ; 1              ; 0            ; 1              ; 20     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Camera_Data_unit|Raw_Buffer|altshift_taps_component|auto_generated                                                           ; 12    ; 0              ; 0            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Camera_Data_unit|Raw_Buffer                                                                                                  ; 12    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Camera_Data_unit                                                                                                             ; 18    ; 0              ; 0            ; 0              ; 63     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0                                                                                                                              ; 172   ; 0              ; 0            ; 0              ; 152    ; 0               ; 0             ; 0               ; 88    ; 0              ; 20           ; 0                ; 20                ;
; led_green_o                                                                                                                                              ; 38    ; 23             ; 23           ; 23             ; 41     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; led_red_o                                                                                                                                                ; 38    ; 14             ; 14           ; 14             ; 50     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; push_button_i                                                                                                                                            ; 42    ; 0              ; 28           ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; switch_i                                                                                                                                                 ; 21    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                      ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                  ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                             ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                    ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_r                                                                                                         ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                      ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                  ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                             ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                    ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0|the_experiment3_jtag_uart_0_scfifo_w                                                                                                         ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0                                                                                                                                              ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sram_0                                                                                                                                                   ; 40    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_jtag_debug_module_wrapper|the_experiment3_cpu_0_jtag_debug_module_sysclk                     ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_jtag_debug_module_wrapper|the_experiment3_cpu_0_jtag_debug_module_tck                        ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_jtag_debug_module_wrapper                                                                    ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_im|experiment3_cpu_0_traceram_lpm_dram_bdp_component|the_altsyncram|auto_generated ; 92    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_im|experiment3_cpu_0_traceram_lpm_dram_bdp_component                               ; 92    ; 2              ; 0            ; 2              ; 72     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_im                                                                                 ; 97    ; 36             ; 17           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_pib                                                                                ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_fifo|the_experiment3_cpu_0_oci_test_bench                                          ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_fifo|experiment3_cpu_0_nios2_oci_fifocount_inc_fifocount                           ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_fifo|experiment3_cpu_0_nios2_oci_fifowp_inc_fifowp                                 ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_fifo|experiment3_cpu_0_nios2_oci_compute_tm_count_tm_count                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_fifo                                                                               ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_dtrace|experiment3_cpu_0_nios2_oci_trc_ctrl_td_mode                                ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_dtrace                                                                             ; 106   ; 0              ; 95           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_itrace                                                                             ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_dbrk                                                                               ; 91    ; 0              ; 0            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_xbrk                                                                               ; 57    ; 5              ; 54           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_break                                                                              ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_avalon_reg                                                                             ; 49    ; 0              ; 28           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_ocimem|experiment3_cpu_0_ociram_lpm_dram_bdp_component|the_altsyncram|auto_generated   ; 90    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_ocimem|experiment3_cpu_0_ociram_lpm_dram_bdp_component                                 ; 90    ; 2              ; 0            ; 2              ; 64     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_ocimem                                                                                 ; 93    ; 0              ; 6            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci|the_experiment3_cpu_0_nios2_oci_debug                                                                              ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_nios2_oci                                                                                                                    ; 164   ; 0              ; 0            ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|experiment3_cpu_0_register_bank_b|the_altsyncram|auto_generated                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|experiment3_cpu_0_register_bank_b                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|experiment3_cpu_0_register_bank_a|the_altsyncram|auto_generated                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|experiment3_cpu_0_register_bank_a                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0|the_experiment3_cpu_0_test_bench                                                                                                                   ; 471   ; 3              ; 434          ; 3              ; 34     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_0                                                                                                                                                    ; 149   ; 0              ; 29           ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
